room_number,room_types,room_price,room_img
50138,스탠다드 (페이백), ,//image.goodchoice.kr/resize_370x220/adimg_new/50138/145959/d09b5afc7e179caa0743060809410979.jpg
50139,스탠다드,20000,//image.goodchoice.kr/resize_370x220/adimg_new/50139/210930/60a102c0d731202e02b2c9ccd4fa95bb.jpg
50139,디럭스,25000,//image.goodchoice.kr/resize_370x220/adimg_new/50139/210929/1ded302a0bb3f6721184202d32e8ba68.jpg
50139,트윈,25000,//image.goodchoice.kr/resize_370x220/adimg_new/50139/210928/db44fbcabec88ff3bfb88e11bfb713c5.jpg
50139,프리미엄1,30000,//image.goodchoice.kr/resize_370x220/adimg_new/50139/137846/522ca5ba1829ea397d7509073f15a5ea.jpg
50139,프리미엄2,35000,//image.goodchoice.kr/resize_370x220/adimg_new/50139/137845/6bdf23ef82668f93f289619108ad427c.jpg
50139,온돌,35000,//image.goodchoice.kr/resize_370x220/adimg_new/50139/137848/d5e178481fc774fe87a472ad1d2e853d.jpg
50139,스탠다드 (페이백), ,//image.goodchoice.kr/resize_370x220/adimg_new/50139/142851/75d8ed4129b4fb4c6995eebf4188c924.jpg
50141,소백 102호, ,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/19/5a617470eeb99.jpg
50143,온돌B 침대1,50000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af52591edd53.jpg
50143,온돌B 침대2,50000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af525a72f116.jpg
50143,온돌B 침대3,50000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af525c6b999f.jpg
50143,온돌B 온돌1,60000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af5255587cb7.jpg
50143,온돌C1,60000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af525dd6ecd2.jpg
50143,온돌B 온돌2,60000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af5257ab53c2.jpg
50143,온돌C2,60000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af525f20b76b.jpg
50143,온돌C3,60000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af52600b6181.jpg
50143,온돌A1,70000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af52505a5fb6.jpg
50143,온돌A2,70000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af5252b19b8a.jpg
50143,패밀리B,100000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af5248fdb895.jpg
50143,패밀리C,100000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af524b01354e.jpg
50143,패밀리D,100000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af524d7bddd1.jpg
50143,패밀리A,110000,//image.goodchoice.kr/resize_370x220/affiliate/2018/05/11/5af5244da3745.jpg
50145,G101,49000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/02/04/d0f2c3aa1be7476e81214b9f4f218dc5.jpg
50145,A201,56000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/02/04/8c835bc5c32d42e386a2fdb2f18cc576.jpg
50145,C101,70000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/02/04/3bf908f35b57447a8e09af3396c18de3.jpg
50145,A101,77000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/02/04/8222a4d0caf644158e5dca8774611c14.jpg
50145,B101,77000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/02/04/494fd04daa214bf593ea13c5f15edd55.jpg
50146,일반,20000,//image.goodchoice.kr/resize_370x220/adimg_new/50146/235708/88fd7521b815b01168d4baede1143fea.jpg
50146,준특실,25000,//image.goodchoice.kr/resize_370x220/adimg_new/50146/235706/3bc4b061166a0da05bd20318b08e2fa6.jpg
50146,특실,30000,//image.goodchoice.kr/resize_370x220/adimg_new/50146/235705/5cd9f4c9383c6bef9e2d16b2b282422c.jpg
50146,VIP,40000,//image.goodchoice.kr/resize_370x220/adimg_new/50146/235702/528d4e2a9962fe1665235560e6d31fc5.jpg
50147, , , 
50149,리플리히,86000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/05/04/63eea466345c4051bae449341f6256cc.jpg
50149,델리카토,170000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/05/04/ac64860ab7204a08b8b6b251f82077a5.jpg
50152,"바스룸(입욕제,쑥입욕제)",20000,//image.goodchoice.kr/resize_370x220/adimg_new/50152/336354/370a820c6bc2a824bbb89e7d8fc2643c.jpg
50152,버블버블룸(고급입욕제),25000,//image.goodchoice.kr/resize_370x220/adimg_new/50152/305541/454cf775b796d757d63bf2caafb5b34b.jpg
50152,트윈베드룸,30000,//image.goodchoice.kr/resize_370x220/adimg_new/50152/311619/5cdd31913b2f36e804b2e0cbd74f433e.jpg
50152,TV다시보기룸(넷플릭스),25000,//image.goodchoice.kr/resize_370x220/adimg_new/50152/315585/57b49325d406f9bca59055913255a0a5.jpg
50152,안마힐링룸(안마의자+입욕제),25000,//image.goodchoice.kr/resize_370x220/adimg_new/50152/137940/6dc534a400cd61924b511e9c1b8d8ce6.jpg
50153,스탠다드[조식제공] ,20000,//image.goodchoice.kr/resize_370x220/adimg_new/50153/147710/7fef2d3c68b35f18236d15d5ad1e6124.jpg
50153,디럭스[조식제공],25000,//image.goodchoice.kr/resize_370x220/adimg_new/50153/147701/627f582f7e416cf8409e662058dd04fe.jpg
50153,디럭스(트윈)[조식제공],30000,//image.goodchoice.kr/resize_370x220/adimg_new/50153/147698/98f79d760bda79f2ea5949446696d6af.jpg
50153,프리미엄[조식제공],30000,//image.goodchoice.kr/resize_370x220/adimg_new/50153/147688/a93ec0f14a404e6fa4c284f4d2ed4e8d.jpg
50153,프리미엄(배틀그라운드&스파),35000,//image.goodchoice.kr/resize_370x220/adimg_new/50153/147689/ee5c353acbe8a4584df9d9b71022055e.jpg
50153,스위트[조식제공],35000,//image.goodchoice.kr/resize_370x220/adimg_new/50153/147684/492e6004175302f965ebf77d9bdc1f20.jpg
50153,스위트(노래방&스크린영화)[조식제공],45000,//image.goodchoice.kr/resize_370x220/adimg_new/50153/149375/3c31807d6ecf84711a674922a0dfa68a.jpg
50158, , , 
50160,진달래,100000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/05/05/f230e61887ba439c8c53363f63fce1c7.jpg
50160,장미,130000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/05/05/4bd3d96cc9394ee7b11966a2453b79cd.jpg
50160,튤립,130000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/05/05/501ca210b51847a891e7562bb9d5fb25.jpg
50160,채송화,160000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/05/05/f1f088d56e4a44ec89f83b111ab4210d.jpg
50160,국화,180000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/05/05/1f0ab0d45696455cb58bd94854ccdfa6.jpg
50161,일반,20000,//image.goodchoice.kr/resize_370x220/adimg_new/50161/138269/01db2bb45b1592fe47f5abef687d638c.jpg
50161,트윈특실,30000,//image.goodchoice.kr/resize_370x220/adimg_new/50161/138267/e7f33297551f1c4ac60a11c091295f57.jpg
50161,특실,30000,//image.goodchoice.kr/resize_370x220/adimg_new/50161/138268/f83c6cafedba832e6fa4d7ae8b4127f1.jpg
50162, , , 
50164, , , 
50165, , , 
50166,커플룸,85000,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/18/09/79ea000dcc514884897e98e2d54491c6.jpg
50167,101호-오션뷰,254000,//image.goodchoice.kr/resize_370x220/affiliate/2019/06/11/01/ee16503218ef4e3ebb81a899c996d9d9.jpg
50167,104호-오션뷰,254000,//image.goodchoice.kr/resize_370x220/affiliate/2019/06/11/01/ee16503218ef4e3ebb81a899c996d9d9.jpg
50167,바다1호-오션뷰,354000,//image.goodchoice.kr/resize_370x220/affiliate/2019/06/11/01/a778991c6fa64aa7baca8107757864d5.jpg
50169,C동 (스파 / 개별수영장 / 독채), ,//image.goodchoice.kr/resize_370x220/affiliate/2018/01/24/5a68464fdca2d.jpg
50170,8.아람,100000,//image.goodchoice.kr/resize_370x220/affiliate/2018/04/17/11/morning_wMnJorbt_BEC6B6F7_28429.jpg
