roomID,room_name,location,latitude,longitude,link,image_link
50543,의정부 클라우드호텔,경기 의정부시 의정부동 498-10,37.7367074,127.0444145,https://www.goodchoice.kr/product/detail?ano=50543,//image.goodchoice.kr/resize_490x348/affiliate/2018/04/03/5ac2cf1cc707a.jpg
50544,엘프라도,경기 가평군 청평면 대성리 391-3,37.6894808,127.3816014,https://www.goodchoice.kr/product/detail?ano=50544,//image.goodchoice.kr/resize_490x348/affiliate/2020/07/17/09/lprado_HYPXkJp4_01.jpg
50545,김천 아리아,경북 김천시 감호동 29,36.1216339,128.1293453,https://www.goodchoice.kr/product/detail?ano=50545,//image.goodchoice.kr/resize_490x348/adimg_new/50545/140935/077c519a2b494335a61b4b57bcf1d058.jpg
50546,정동진 바다부채길,강원 강릉시 강동면 정동진리 264-2,37.6892008,129.0243271,https://www.goodchoice.kr/product/detail?ano=50546,//image.goodchoice.kr/resize_490x348/adimg_new/50546/140986/003f9ba39407769b938d8ed65b1cdcdf.jpg
50550,통영 세븐,경남 통영시 광도면 죽림리 1571-20,34.88694,128.4200019,https://www.goodchoice.kr/product/detail?ano=50550,//image.goodchoice.kr/resize_490x348/adimg_new/50550/142249/38ce268d6b0c6a93834c19b06cd41e47.jpg
50551,경포대 산토리니,강원 강릉시 강문동 산 4-5,37.8036307,128.9089111,https://www.goodchoice.kr/product/detail?ano=50551,//image.goodchoice.kr/resize_490x348/adimg_new/50551/140869/10b478d00aea89d20d5f7c9acc1aa2de.jpg
50552,여주 드라이브인 호텔 숲,경기 여주시 가남읍 신해리 609-2,37.2170023,127.5305976,https://www.goodchoice.kr/product/detail?ano=50552,//image.goodchoice.kr/resize_490x348/adimg_new/50552/141564/b5557f0baddca4b425fd0e227ea7cad8.jpg
50553,경포의휴일 펜션,강원 강릉시 초당동 453-2,37.7960177,128.9131587,https://www.goodchoice.kr/product/detail?ano=50553,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/12/5a812a8ce860b.jpg
50555,전주 한옥마을 혜윰,전라북도 전주시 완산구 교동 213  　,35.8114425,127.1520378,https://www.goodchoice.kr/product/detail?ano=50555,//image.goodchoice.kr/resize_490x348/adimg_new/50555/0/0d35738a91367b8a5fa91780a4d29b6b.jpg
50556,소우도 펜션,인천 옹진군 영흥면 선재리 499-31,37.25032789999999,126.5218836,https://www.goodchoice.kr/product/detail?ano=50556,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/29/5f9a9a3835ac8.jpg
